#NSGA2
popsize 750
maxGen 40
numVar 13
numObj 6
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 40
currentGen	1
evaluateCount	750
totalTime	53920.3
firstFrontCount	747
frontCount	2
avgEvalTime	891.209
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	Obj4	Obj5	Obj6
2550	162	752	17.2532	11.0803	962	13	9	480	10	78	346	5	0.133467	47372.2	0.000141764	0	0	0
2693	422	762	14.4852	11.6389	1050	10	8	485	1	78	350	6	0.346609	34413.4	0.000133103	0	0	0
2684	450	767	15.1281	12.766	1039	13	10	490	7	80	346	5	0.363609	32111	0.000140885	0	0	0
2625	348	745	16.5352	15.0845	1046	12	7	490	5	74	349	5	0.262715	30634.9	0.000161525	0	0	0
2300	100	725	25	15.9352	928	17	8	469	5	57	349	4	0.06317	51822.1	0.000217439	0	0	0
2632	483	772	13.0855	11.4068	1049	13	10	485	12	80	349	4	0.408631	34180.8	0.000131492	0	0	0
2606	116	767	23.075	10.34	1045	12	9	470	8	71	350	4	0.091292	67166	0.000155343	0	0	0
2333	109	725	22.7671	15.9242	957	14	10	468	7	62	350	4	0.072652	49041.5	0.000202716	0	0	0
2402	114	746	23.7958	10.1485	1029	14	9	465	9	79	346	4	0.07847	72603.7	0.000167532	0	0	0
2316	236	725	25	15.986	900	16	8	472	6	60	349	4	0.136379	35787.8	0.000212044	0	0	0
2447	135	766	18.7475	10.0225	1041	11	6	485	2	70	348	5	0.107752	60453.4	0.000144238	0	0	0
2334	104	773	21.7003	11.4476	1037	15	8	467	19	73	339	5	0.077515	63202.5	0.000174095	0	0	0
2387	153	731	22.7137	15.8842	953	11	6	464	5	69	341	5	0.099637	41228	0.000194742	0	0	0
2518	229	758	16.499	15.9605	1012	11	8	489	10	74	350	6	0.178879	33901.8	0.000171409	0	0	0
2410	212	766	16.499	15.9605	1050	11	9	472	10	69	350	6	0.162492	35638.4	0.00017301	0	0	0
2700	500	772	14.6276	14.0312	1036	11	9	489	9	80	349	6	0.412195	30286.3	0.000148104	0	0	0
2526	100	727	23.8939	16	1050	13	8	483	5	73	343	4	0.072865	51877.3	0.000198295	0	0	0
2300	100	735	23.9568	10	1049	10	6	478	6	64	350	5	0.065645	86113.2	0.000183857	0	0	0
2698	440	775	12.7946	11.1769	1038	11	6	479	8	80	349	5	0.388122	35508.7	0.000128584	0	0	0
2607	253	771	13.8582	10	1050	11	7	485	0	80	350	4	0.22457	41994.4	0.000125597	0	0	0
2638	351	730	18.04	16	1026	13	7	487	10	74	347	5	0.252771	29772.1	0.000172712	0	0	0
2619	345	773	12.9637	10.2253	1040	13	8	472	7	70	350	4	0.302988	38837.9	0.000125502	0	0	0
2661	420	759	15.0327	12.2363	1050	11	8	481	13	75	350	5	0.335109	33435.9	0.000138026	0	0	0
2620	254	741	15.6782	12.3419	1036	12	8	489	7	80	349	5	0.203167	36764.5	0.000142552	0	0	0
2700	385	761	15.8161	13.044	1050	15	9	488	9	76	350	5	0.307548	32491.5	0.000143082	0	0	0
2699	126	769	25	10	1050	10	7	484	8	65	345	4	0.097735	74707.2	0.000149254	0	0	0
2310	183	738	19.2099	16	954	14	9	470	3	65	322	4	0.122686	37552.1	0.000192197	0	0	0
2691	500	775	13.1527	12.766	1048	13	7	483	7	78	346	5	0.430323	32398.8	0.000138198	0	0	0
2460	104	758	24.3955	10.7066	1017	16	7	490	5	78	344	5	0.075214	71422.6	0.000173671	0	0	0
2700	200	770	16.3348	14.4344	1050	13	8	486	1	80	350	5	0.175604	36689.1	0.000152253	0	0	0
2300	100	740	22.3964	13.9722	919	11	8	474	8	73	334	6	0.069256	54378.1	0.000197044	0	0	0
2310	100	742	24.7112	13.6724	939	12	8	481	7	70	335	5	0.065544	57598.9	0.000200361	0	0	0
2300	117	754	23.1104	16	913	15	9	477	3	43	322	5	0.077995	46228	0.0002096	0	0	0
2329	109	725	25	15.9951	909	10	8	481	6	62	348	4	0.068782	49789.4	0.000211461	0	0	0
2389	114	751	23.8398	10.2271	1033	16	9	472	15	79	343	4	0.078484	72517.6	0.00016818	0	0	0
2330	100	737	23.827	13.5548	972	13	9	477	8	77	337	4	0.067419	57171.6	0.000195656	0	0	0
2310	183	740	19.2099	16	954	14	9	470	3	65	339	4	0.123019	37559.9	0.000190295	0	0	0
2537	348	745	16.5352	14.7303	1050	11	8	490	8	74	349	5	0.254593	31417.7	0.000161108	0	0	0
2484	112	730	20.2009	10	1023	12	8	480	6	72	330	4	0.087116	65505.6	0.000161264	0	0	0
2300	100	740	24.3849	12.6596	939	12	8	486	7	68	336	5	0.065551	61038.5	0.00019604	0	0	0
2643	500	772	14.9889	13.7912	1050	12	9	490	4	71	350	5	0.401753	30590.8	0.000147341	0	0	0
2318	100	763	24.2216	10.0219	1040	11	9	481	5	62	347	6	0.068257	83189.6	0.000180668	0	0	0
2693	422	753	14.4852	11.6389	1050	13	8	482	1	78	350	6	0.342515	34568.9	0.000134102	0	0	0
2697	446	762	14.5414	14.2959	1050	12	8	490	9	72	350	5	0.364806	30412.9	0.000150263	0	0	0
2446	140	775	20.6512	10	1050	12	6	480	7	70	350	5	0.106151	64644	0.000144655	0	0	0
2330	109	731	23.827	14.288	977	15	9	478	8	78	337	4	0.071537	53276.1	0.000195046	0	0	0
2530	123	753	20.0912	10	992	12	9	472	7	58	346	6	0.098798	62577.6	0.000150466	0	0	0
2626	424	765	16.7376	14.7476	1048	11	8	490	6	75	350	5	0.324704	30022.3	0.000156838	0	0	0
2300	100	742	25	10	1049	11	7	481	3	78	344	5	0.064652	85839.4	0.000186359	0	0	0
2690	303	743	14.308	12.7009	1050	10	9	485	12	75	349	6	0.253728	34482.9	0.000141383	0	0	0
2417	108	733	23.4444	11.5555	1004	10	9	473	4	61	343	5	0.074995	63853.2	0.000176803	0	0	0
2688	453	730	18.04	16	984	13	7	487	8	73	347	5	0.32969	28794.5	0.00017319	0	0	0
2427	107	772	25	10.9195	1021	13	10	468	12	80	340	4	0.075878	68550.1	0.000173521	0	0	0
