"Time [ms]","InducedVoltage(Coil1) [V]","InducedVoltage(Coil2) [V]","InducedVoltage(Coil1)_1_1 [V]"
7.59999999999986,,,-112.676250770298
7.60000000000001,-118.231201333893,-118.332060572851,
7.60999999999986,,,-112.518886771822
7.61999999999986,,,-112.655755980428
7.62999999999986,,,-112.617943893466
7.63999999999986,,,-112.857129789389
7.64999999999986,,,-112.745505017608
7.65999999999986,,,-112.70904499419
7.66999999999986,,,-112.728410320222
7.67999999999986,,,-112.699047307784
7.68999999999986,,,-112.733541658932
7.69999999999986,,,-112.630241509098
7.70000000000001,-124.7537611494,-124.885562277168,
7.70999999999985,,,-112.921852737407
7.71999999999985,,,-112.655305090458
7.72999999999985,,,-112.772166046475
7.73999999999985,,,-112.709362816498
7.74999999999985,,,-112.702868169455
7.75999999999985,,,-112.70797217529
7.76999999999985,,,-112.826128970782
7.77999999999985,,,-113.050449067414
7.78999999999985,,,-112.973277967337
7.79999999999985,,,-113.218019857041
7.80000000000001,-122.381090556272,-122.452363444984,
7.80999999999985,,,-113.047911498969
7.81999999999985,,,-113.295596522749
7.82999999999985,,,-113.321661952619
7.83999999999985,,,-113.691651082686
7.84999999999985,,,-113.653873806395
7.85999999999985,,,-113.859734303128
7.86999999999985,,,-114.017144753413
7.87999999999985,,,-114.229151157957
7.88999999999985,,,-114.407883626754
7.89999999999985,,,-114.696225480625
7.90000000000001,-114.008537110946,-113.978397637553,
7.90999999999985,,,-114.990810867487
7.91999999999985,,,-114.997395888221
7.92999999999985,,,-115.26166171386
7.93999999999985,,,-115.419696494222
7.94999999999985,,,-115.68164096502
7.95999999999985,,,-115.665265201747
7.96999999999985,,,-116.126462374077
7.97999999999984,,,-116.350349885907
7.98999999999984,,,-116.506173131863
7.99999999999984,,,-116.904090545988
8.00000000000001,-107.816540493568,-107.738215599291,
8.00999999999984,,,-117.005027385685
8.01999999999984,,,-117.38852848726
8.02999999999984,,,-117.687011141281
8.03999999999984,,,-118.214060624616
8.04999999999984,,,-118.406841281814
8.05999999999984,,,-118.84255914108
8.06999999999984,,,-119.171014385649
8.07999999999984,,,-119.56367798061
8.08999999999984,,,-119.747225818422
8.09999999999984,,,-120.248250736992
8.10000000000001,-108.007924046215,-107.92359405447,
8.10999999999984,,,-120.469620486068
8.11999999999984,,,-120.621488933997
8.12999999999984,,,-120.883725726122
8.13999999999984,,,-121.051949798617
8.14999999999984,,,-121.255127655905
8.15999999999984,,,-121.328984694835
8.16999999999984,,,-121.610349121936
8.17999999999984,,,-121.833384784525
8.18999999999984,,,-121.850833135717
8.19999999999984,,,-122.188199260703
8.20000000000001,-111.926712856519,-111.862103837749,
8.20999999999984,,,-122.07857325589
8.21999999999984,,,-122.249267867813
8.22999999999983,,,-122.293240967197
8.23999999999983,,,-122.509386737051
8.24999999999983,,,-122.535979795296
8.25999999999983,,,-122.751001099075
8.26999999999983,,,-122.95710568963
8.27999999999983,,,-123.02329755745
8.28999999999983,,,-123.239344933889
8.29999999999983,,,-123.674177870458
8.30000000000001,-117.398359503006,-117.365023032454,
8.30999999999983,,,-123.443772161785
8.31999999999983,,,-123.720516485287
8.32999999999983,,,-123.994507096969
8.33999999999983,,,-124.210079881897
8.34999999999983,,,-124.433972041676
8.35999999999983,,,-124.710612219353
8.36999999999983,,,-125.050585631536
8.37999999999983,,,-125.275272100589
8.38999999999983,,,-125.461584081887
8.39999999999983,,,-126.025752611347
8.4,-126.637212120919,-126.65855082939,
8.40999999999983,,,-125.844939843838
8.41999999999983,,,-126.338901726907
8.42999999999983,,,-126.7592052962
8.43999999999983,,,-127.119998871977
8.44999999999983,,,-127.289394044621
8.45999999999983,,,-127.641463163552
8.46999999999982,,,-127.980436148245
8.47999999999982,,,-128.356021933767
8.48999999999982,,,-128.615533555259
8.49999999999982,,,-129.354716239432
8.5,-137.941241748539,-138.006990371169,
8.50999999999982,,,-129.277290386598
8.51999999999982,,,-129.701993799774
8.52999999999982,,,-130.087023799596
8.53999999999982,,,-130.488038923576
8.54999999999982,,,-130.898311758481
8.55999999999982,,,-130.894153113575
